Rivet 3.1.1 running on machine aligentest.cern.ch (x86_64) at 2022-04-15 14:17:07
Reading events from '/tmp/p8R3.fifo'
Event 16600 (0:03:37 elapsed)
Event 16700 (0:03:38 elapsed)
Event 16800 (0:03:39 elapsed)
Event 16900 (0:03:40 elapsed)
Event 17000 (0:03:42 elapsed)
Event 17100 (0:03:43 elapsed)
Event 17200 (0:03:45 elapsed)
Event 17300 (0:03:46 elapsed)
Event 17400 (0:03:47 elapsed)
Event 17500 (0:03:48 elapsed)
Event 17600 (0:03:49 elapsed)
Event 17700 (0:03:50 elapsed)
Event 17800 (0:03:51 elapsed)
Event 17900 (0:03:52 elapsed)
Event 18000 (0:03:53 elapsed)
Event 18100 (0:03:54 elapsed)
Event 18200 (0:03:55 elapsed)
Event 18300 (0:03:56 elapsed)
Event 18400 (0:03:57 elapsed)
Event 18500 (0:03:58 elapsed)
Event 18600 (0:03:59 elapsed)
Event 18700 (0:04:01 elapsed)
Event 18800 (0:04:02 elapsed)
Event 18900 (0:04:03 elapsed)
Event 19000 (0:04:04 elapsed)
Event 19100 (0:04:05 elapsed)
Event 19200 (0:04:06 elapsed)
Event 19300 (0:04:07 elapsed)
Event 19400 (0:04:08 elapsed)
Event 19500 (0:04:10 elapsed)
Event 19600 (0:04:11 elapsed)
Event 19700 (0:04:12 elapsed)
Event 19800 (0:04:13 elapsed)
Event 19900 (0:04:14 elapsed)
Event 20000 (0:04:15 elapsed)
Event 20100 (0:04:16 elapsed)
Event 20200 (0:04:17 elapsed)
Event 20300 (0:04:18 elapsed)
Event 20400 (0:04:19 elapsed)
Event 20500 (0:04:20 elapsed)
Event 20600 (0:04:21 elapsed)
Event 20700 (0:04:22 elapsed)
Event 20800 (0:04:23 elapsed)
Event 20900 (0:04:25 elapsed)
Event 21000 (0:04:26 elapsed)
Event 21100 (0:04:27 elapsed)
Event 21200 (0:04:27 elapsed)
Event 21300 (0:04:29 elapsed)
Event 21400 (0:04:30 elapsed)
Event 21500 (0:04:31 elapsed)
Event 21600 (0:04:32 elapsed)
Event 21700 (0:04:33 elapsed)
Event 21800 (0:04:34 elapsed)
Event 21900 (0:04:35 elapsed)
Event 22000 (0:04:36 elapsed)
Event 22100 (0:04:37 elapsed)
Event 22200 (0:04:38 elapsed)
Event 22300 (0:04:39 elapsed)
Event 22400 (0:04:40 elapsed)
Event 22500 (0:04:41 elapsed)
Event 22600 (0:04:43 elapsed)
Event 22700 (0:04:44 elapsed)
Event 22800 (0:04:45 elapsed)
Event 22900 (0:04:46 elapsed)
Event 23000 (0:04:47 elapsed)
Event 23100 (0:04:48 elapsed)
Event 23200 (0:04:49 elapsed)
Event 23300 (0:04:51 elapsed)
Event 23400 (0:04:52 elapsed)
Event 23500 (0:04:53 elapsed)
Event 23600 (0:04:54 elapsed)
Event 23700 (0:04:56 elapsed)
Event 23800 (0:04:57 elapsed)
Event 23900 (0:04:58 elapsed)
Event 24000 (0:04:59 elapsed)
Event 24100 (0:05:00 elapsed)
Event 24200 (0:05:01 elapsed)
Event 24300 (0:05:02 elapsed)
Event 24400 (0:05:03 elapsed)
Event 24500 (0:05:04 elapsed)
Event 24600 (0:05:05 elapsed)
Event 24700 (0:05:07 elapsed)
Event 24800 (0:05:08 elapsed)
Event 24900 (0:05:09 elapsed)
Event 25000 (0:05:10 elapsed)
